,Pclass,Sex,Age,Fare,Embarked,Alone,Single,SmallF,MedF,LargeF
671,1,1,31.0,52.0,2,0,1,0,0,0
672,2,1,70.0,10.5,2,1,0,0,0,0
673,2,1,31.0,13.0,2,1,0,0,0,0
675,3,1,18.0,7.775,2,1,0,0,0,0
676,3,1,24.5,8.05,2,1,0,0,0,0
677,3,0,18.0,9.8417,2,1,0,0,0,0
678,3,0,43.0,46.9,2,0,0,0,0,1
679,1,1,36.0,512.3292,0,0,1,0,0,0
681,1,1,27.0,76.7292,0,1,0,0,0,0
682,3,1,20.0,9.225,2,1,0,0,0,0
683,3,1,14.0,46.9,2,0,0,0,0,1
684,2,1,60.0,39.0,2,0,0,1,0,0
685,2,1,25.0,41.5792,0,0,0,0,1,0
686,3,1,14.0,39.6875,2,0,0,0,0,1
687,3,1,19.0,10.1708,2,1,0,0,0,0
688,3,1,18.0,7.7958,2,1,0,0,0,0
689,1,0,15.0,211.3375,2,0,1,0,0,0
690,1,1,31.0,57.0,2,0,1,0,0,0
691,3,0,4.0,13.4167,0,0,1,0,0,0
693,3,1,25.0,7.225,0,1,0,0,0,0
694,1,1,60.0,26.55,2,1,0,0,0,0
695,2,1,52.0,13.5,2,1,0,0,0,0
696,3,1,44.0,8.05,2,1,0,0,0,0
698,1,1,49.0,110.8833,0,0,0,1,0,0
699,3,1,42.0,7.65,2,1,0,0,0,0
700,1,0,18.0,227.525,0,0,1,0,0,0
701,1,1,35.0,26.2875,2,1,0,0,0,0
702,3,0,18.0,14.4542,0,0,1,0,0,0
703,3,1,25.0,7.7417,1,1,0,0,0,0
704,3,1,26.0,7.8542,2,0,1,0,0,0
705,2,1,39.0,26.0,2,1,0,0,0,0
706,2,0,45.0,13.5,2,1,0,0,0,0
707,1,1,42.0,26.2875,2,1,0,0,0,0
708,1,0,22.0,151.55,2,1,0,0,0,0
710,1,0,24.0,49.5042,0,1,0,0,0,0
712,1,1,48.0,52.0,2,0,1,0,0,0
713,3,1,29.0,9.4833,2,1,0,0,0,0
714,2,1,52.0,13.0,2,1,0,0,0,0
715,3,1,19.0,7.65,2,1,0,0,0,0
716,1,0,38.0,227.525,0,1,0,0,0,0
717,2,0,27.0,10.5,2,1,0,0,0,0
719,3,1,33.0,7.775,2,1,0,0,0,0
720,2,0,6.0,33.0,2,0,1,0,0,0
721,3,1,17.0,7.0542,2,0,1,0,0,0
722,2,1,34.0,13.0,2,1,0,0,0,0
723,2,1,50.0,13.0,2,1,0,0,0,0
724,1,1,27.0,53.1,2,0,1,0,0,0
725,3,1,20.0,8.6625,2,1,0,0,0,0
726,2,0,30.0,21.0,2,0,0,0,1,0
728,2,1,25.0,26.0,2,0,1,0,0,0
729,3,0,25.0,7.925,2,0,1,0,0,0
730,1,0,29.0,211.3375,2,1,0,0,0,0
731,3,1,11.0,18.7875,0,1,0,0,0,0
733,2,1,23.0,13.0,2,1,0,0,0,0
734,2,1,23.0,13.0,2,1,0,0,0,0
735,3,1,28.5,16.1,2,1,0,0,0,0
736,3,0,48.0,34.375,2,0,0,0,1,0
737,1,1,35.0,512.3292,0,1,0,0,0,0
741,1,1,36.0,78.85,2,0,1,0,0,0
742,1,0,21.0,262.375,0,0,0,0,1,0
743,3,1,24.0,16.1,2,0,1,0,0,0
744,3,1,31.0,7.925,2,1,0,0,0,0
745,1,1,70.0,71.0,2,0,0,1,0,0
746,3,1,16.0,20.25,2,0,0,1,0,0
747,2,0,30.0,13.0,2,1,0,0,0,0
748,1,1,19.0,53.1,2,0,1,0,0,0
749,3,1,31.0,7.75,1,1,0,0,0,0
750,2,0,4.0,23.0,2,0,0,1,0,0
751,3,1,6.0,12.475,2,0,1,0,0,0
752,3,1,33.0,9.5,2,1,0,0,0,0
753,3,1,23.0,7.8958,2,1,0,0,0,0
754,2,0,48.0,65.0,2,0,0,0,1,0
755,2,1,0.67,14.5,2,0,0,1,0,0
756,3,1,28.0,7.7958,2,1,0,0,0,0
757,2,1,18.0,11.5,2,1,0,0,0,0
758,3,1,34.0,8.05,2,1,0,0,0,0
759,1,0,33.0,86.5,2,1,0,0,0,0
761,3,1,41.0,7.125,2,1,0,0,0,0
762,3,1,20.0,7.2292,0,1,0,0,0,0
763,1,0,36.0,120.0,2,0,0,0,1,0
764,3,1,16.0,7.775,2,1,0,0,0,0
765,1,0,51.0,77.9583,2,0,1,0,0,0
767,3,0,30.5,7.75,1,1,0,0,0,0
769,3,1,32.0,8.3625,2,1,0,0,0,0
770,3,1,24.0,9.5,2,1,0,0,0,0
771,3,1,48.0,7.8542,2,1,0,0,0,0
772,2,0,57.0,10.5,2,1,0,0,0,0
774,2,0,54.0,23.0,2,0,0,0,1,0
775,3,1,18.0,7.75,2,1,0,0,0,0
777,3,0,5.0,12.475,2,1,0,0,0,0
779,1,0,43.0,211.3375,2,0,1,0,0,0
780,3,0,13.0,7.2292,0,1,0,0,0,0
781,1,0,17.0,57.0,2,0,1,0,0,0
782,1,1,29.0,30.0,2,1,0,0,0,0
784,3,1,25.0,7.05,2,1,0,0,0,0
785,3,1,25.0,7.25,2,1,0,0,0,0
786,3,0,18.0,7.4958,2,1,0,0,0,0
787,3,1,8.0,29.125,1,0,0,0,0,1
788,3,1,1.0,20.575,2,0,0,0,1,0
789,1,1,46.0,79.2,0,1,0,0,0,0
791,2,1,16.0,26.0,2,1,0,0,0,0
794,3,1,25.0,7.8958,2,1,0,0,0,0
795,2,1,39.0,13.0,2,1,0,0,0,0
796,1,0,49.0,25.9292,2,1,0,0,0,0
797,3,0,31.0,8.6833,2,1,0,0,0,0
798,3,1,30.0,7.2292,0,1,0,0,0,0
799,3,0,30.0,24.15,2,0,0,1,0,0
800,2,1,34.0,13.0,2,1,0,0,0,0
801,2,0,31.0,26.25,2,0,0,1,0,0
802,1,1,11.0,120.0,2,0,0,0,1,0
803,3,1,0.42,8.5167,0,0,1,0,0,0
804,3,1,27.0,6.975,2,1,0,0,0,0
805,3,1,31.0,7.775,2,1,0,0,0,0
806,1,1,39.0,0.0,2,1,0,0,0,0
807,3,0,18.0,7.775,2,1,0,0,0,0
808,2,1,39.0,13.0,2,1,0,0,0,0
809,1,0,33.0,53.1,2,0,1,0,0,0
810,3,1,26.0,7.8875,2,1,0,0,0,0
811,3,1,39.0,24.15,2,1,0,0,0,0
812,2,1,35.0,10.5,2,1,0,0,0,0
813,3,0,6.0,31.275,2,0,0,0,0,1
814,3,1,30.5,8.05,2,1,0,0,0,0
816,3,0,23.0,7.925,2,1,0,0,0,0
817,2,1,31.0,37.0042,0,0,0,1,0,0
818,3,1,43.0,6.45,2,1,0,0,0,0
819,3,1,10.0,27.9,2,0,0,0,0,1
820,1,0,52.0,93.5,2,0,0,1,0,0
821,3,1,27.0,8.6625,2,1,0,0,0,0
822,1,1,38.0,0.0,2,1,0,0,0,0
823,3,0,27.0,12.475,2,0,1,0,0,0
824,3,1,2.0,39.6875,2,0,0,0,0,1
827,2,1,1.0,37.0042,0,0,0,1,0,0
830,3,0,15.0,14.4542,0,0,1,0,0,0
831,2,1,0.83,18.75,2,0,0,1,0,0
833,3,1,23.0,7.8542,2,1,0,0,0,0
834,3,1,18.0,8.3,2,1,0,0,0,0
835,1,0,39.0,83.1583,0,0,0,1,0,0
836,3,1,21.0,8.6625,2,1,0,0,0,0
838,3,1,32.0,56.4958,2,1,0,0,0,0
840,3,1,20.0,7.925,2,1,0,0,0,0
841,2,1,16.0,10.5,2,1,0,0,0,0
842,1,0,30.0,31.0,0,1,0,0,0,0
843,3,1,34.5,6.4375,0,1,0,0,0,0
844,3,1,17.0,8.6625,2,1,0,0,0,0
845,3,1,42.0,7.55,2,1,0,0,0,0
847,3,1,35.0,7.8958,0,1,0,0,0,0
848,2,1,28.0,33.0,2,0,1,0,0,0
850,3,1,4.0,31.275,2,0,0,0,0,1
851,3,1,74.0,7.775,2,1,0,0,0,0
852,3,0,9.0,15.2458,0,0,0,1,0,0
853,1,0,16.0,39.4,2,0,1,0,0,0
854,2,0,44.0,26.0,2,0,1,0,0,0
855,3,0,18.0,9.35,2,0,1,0,0,0
856,1,0,45.0,164.8667,2,0,0,1,0,0
857,1,1,51.0,26.55,2,1,0,0,0,0
858,3,0,24.0,19.2583,0,0,0,0,1,0
860,3,1,41.0,14.1083,2,0,0,1,0,0
861,2,1,21.0,11.5,2,0,1,0,0,0
862,1,0,48.0,25.9292,2,1,0,0,0,0
864,2,1,24.0,13.0,2,1,0,0,0,0
865,2,0,42.0,13.0,2,1,0,0,0,0
866,2,0,27.0,13.8583,0,0,1,0,0,0
867,1,1,31.0,50.4958,2,1,0,0,0,0
869,3,1,4.0,11.1333,2,0,0,1,0,0
870,3,1,26.0,7.8958,2,1,0,0,0,0
871,1,0,47.0,52.5542,2,0,0,1,0,0
872,1,1,33.0,5.0,2,1,0,0,0,0
873,3,1,47.0,9.0,2,1,0,0,0,0
874,2,0,28.0,24.0,0,0,1,0,0,0
875,3,0,15.0,7.225,0,1,0,0,0,0
876,3,1,20.0,9.8458,2,1,0,0,0,0
877,3,1,19.0,7.8958,2,1,0,0,0,0
879,1,0,56.0,83.1583,0,0,1,0,0,0
880,2,0,25.0,26.0,2,0,1,0,0,0
881,3,1,33.0,7.8958,2,1,0,0,0,0
882,3,0,22.0,10.5167,2,1,0,0,0,0
883,2,1,28.0,10.5,2,1,0,0,0,0
884,3,1,25.0,7.05,2,1,0,0,0,0
885,3,0,39.0,29.125,1,0,0,0,0,1
886,2,1,27.0,13.0,2,1,0,0,0,0
887,1,0,19.0,30.0,2,1,0,0,0,0
889,1,1,26.0,30.0,0,1,0,0,0,0
890,3,1,32.0,7.75,1,1,0,0,0,0
